project	spectrum_fov_id	fov_coordinates	spectrum_sample_id	pici_id	isabl_id	patient_id	fov_status	fov_qc	tme_inclusion_status
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[45311,13111]	[45311,13111]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[45311,13111]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[45811,15111]	[45811,15111]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[45811,15111]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[46355,14111]	[46355,14111]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[46355,14111]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[46871,11536]	[46871,11536]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[46871,11536]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[46871,12536]	[46871,12536]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[46871,12536]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[47386,10536]	[47386,10536]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[47386,10536]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[47693,13536]	[47693,13536]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[47693,13536]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[47920,14536]	[47920,14536]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[47920,14536]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[48247,15536]	[48247,15536]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[48247,15536]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[49111,11412]	[49111,11412]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[49111,11412]_component_data - resolution #1	SPECTRUM-OV-002	Pass	reference	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[49415,14695]	[49415,14695]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[49415,14695]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[49496,12412]	[49496,12412]	SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 IO	SPECTRUM-OV-002_IO_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[49496,12412]_component_data - resolution #1	SPECTRUM-OV-002	Pass	NA	Yes
SPECTRUM	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[56373,3728]	[56373,3728]	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 RA	SPECTRUM-OV-002_RA_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[56373,3728]_component_data - resolution #1	SPECTRUM-OV-002	Fail	exclude	Yes
SPECTRUM	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[59126,16695]	[59126,16695]	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 RA	SPECTRUM-OV-002_RA_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[59126,16695]_component_data - resolution #1	SPECTRUM-OV-002	Pass	transfer	Yes
SPECTRUM	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[59361,15012]	[59361,15012]	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 RA	SPECTRUM-OV-002_RA_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[59361,15012]_component_data - resolution #1	SPECTRUM-OV-002	Pass	reference	Yes
SPECTRUM	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[59458,15870]	[59458,15870]	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 RA	SPECTRUM-OV-002_RA_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[59458,15870]_component_data - resolution #1	SPECTRUM-OV-002	Pass	transfer	Yes
SPECTRUM	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[60553,14338]	[60553,14338]	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 RA	SPECTRUM-OV-002_RA_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[60553,14338]_component_data - resolution #1	SPECTRUM-OV-002	Pass	transfer	Yes
SPECTRUM	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1_[61388,15112]	[61388,15112]	SPECTRUM-OV-002_S1_RIGHT_ADNEXA_CD68_TOX_PD1_PDL1_CD8_panCK-CK8-18_DAPI_R1	SPECTRUM-OV-002 RA	SPECTRUM-OV-002_RA_CD68.TOX.PD1.PDL1.CD8.panCK_CK8-18.DAPI_[61388,15112]_component_data - resolution #1	SPECTRUM-OV-002	Pass	transfer	Yes
